corp_empl,description_corps_empl,categorie,corps_emploi
4212,Techn. audio-visuel,Services administratifs et indirecte,Technique
4213,Techn. en bâtiment,Services administratifs et indirecte,Technique
4214,Techn. en loisirs,Services administratifs et indirecte,Technique
4215,Techn. en organisat. scol,Services administratifs et indirecte,Technique
4216,Techn. en psychométrie,Services administratifs et indirecte,Technique
4217,Infirmier auxiliaire,Services administratifs et indirecte,Paratechnique
4218,Appariteur,Services administratifs et indirecte,Paratechnique
4219,Dessinateur,Services administratifs et indirecte,Technique
4221,Opérat. en imprimerie,Services administratifs et indirecte,Paratechnique
4222,Photographe,Services administratifs et indirecte,Technique
4223,Surveillant d'élèves,Services administratifs et indirecte,Paratechnique
4226,Surveillant sauveteur,Services administratifs et indirecte,Paratechnique
4227,Taxidermie,Services administratifs et indirecte,Technique
4228,Tech. en écriture braille,Services administratifs et indirecte,Technique
4229,Opér. imprimerie cl princ,Services administratifs et indirecte,Paratechnique
4230,Tech. interprète,Services administratifs et indirecte,Technique
4232,Opér. reprographie cl pri,Services administratifs et indirecte,Paratechnique
4233,Opér. en reprographie,Services administratifs et indirecte,Paratechnique
4276,Techn. en gest. aliment.,Services administratifs et indirecte,Technique
4277,Techn. en électronique,Services administratifs et indirecte,Technique
4278,Techn. en inform cl princ,Services administratifs et indirecte,Technique
4279,Techn. en arts graphiques,Services administratifs et indirecte,Technique
4280,Techn. transport scolaire,Services administratifs et indirecte,Technique
4281,Techn. en form. prof.,Services administratifs et indirecte,Technique
4282,Insp. en transport scol.,Services administratifs et indirecte,Paratechnique
4283,Relieur,Services administratifs et indirecte,Paratechnique
4284,Éduc. en milieu scolaire,Services administratifs et indirecte,Paratechnique
4285,Techn. en srv. de garde,Services administratifs et indirecte,Technique
4286,Préposé élève handicapé,Services administratifs et indirecte,Paratechnique
4288,Éduc. scol. cl. princ.,Services administratifs et indirecte,Paratechnique
4298,Autre soutien technique,Services administratifs et indirecte,Technique
4999,4*** création pour Web,Services administratifs et indirecte,
5000,Soutien,Services administratifs et indirecte,
5101,Briqueteur-maçon,Services administratifs et indirecte,Manuel
5102,Ebéniste,Services administratifs et indirecte,Manuel
5103,Électricien(ne) cl. princ,Services administratifs et indirecte,Manuel
5104,Electricien,Services administratifs et indirecte,Manuel
5105,Ferblantier-couvreur,Services administratifs et indirecte,Manuel
5106,Mécanicien classe I,Services administratifs et indirecte,Manuel
5107,Mécan. mach. fixes cl I,Services administratifs et indirecte,Manuel
5108,Mécan. mach. fixes cl II,Services administratifs et indirecte,Manuel
5109,Mécan. mach. fixes cl III,Services administratifs et indirecte,Manuel
5110,Mécan. mach. fixes cl IV,Services administratifs et indirecte,Manuel
5111,Mécan. mach. fixes cl V,Services administratifs et indirecte,Manuel
5112,Mécan. mach. fixes cl VI,Services administratifs et indirecte,Manuel
5114,Maître méc. en tuyauterie,Services administratifs et indirecte,Manuel
5115,Tuyauteur,Services administratifs et indirecte,Manuel
5116,Menuisier,Services administratifs et indirecte,Manuel
5117,Ouvrier cert. d'entretien,Services administratifs et indirecte,Manuel
5118,Peintre,Services administratifs et indirecte,Manuel
5119,Plâtrier,Services administratifs et indirecte,Manuel
5120,Serrurier,Services administratifs et indirecte,Manuel
5121,Soudeur,Services administratifs et indirecte,Manuel
5122,Méc. machine de bureau,Services administratifs et indirecte,Manuel
5125,Spéc. mécanique d'ajust.,Services administratifs et indirecte,Manuel
5126,Vitrier monteur-méc.,Services administratifs et indirecte,Manuel
5127,Préposé au serv. d'alarme,Services administratifs et indirecte,Manuel
5133,Appren. métier 1ere année,Services administratifs et indirecte,Manuel
5134,Appren. métier 2e année,Services administratifs et indirecte,Manuel
5135,Appren. métier 3e année,Services administratifs et indirecte,Manuel
5136,Appren. métier 4e année,Services administratifs et indirecte,Manuel
5137,Mécanicien classe II,Services administratifs et indirecte,Manuel
5198,Autre soutien qualifié,Services administratifs et indirecte,Manuel
5301,Concierge classe I,Services administratifs et indirecte,Manuel
5302,Concierge classe II,Services administratifs et indirecte,Manuel
5303,Concierge de nuit cl. I,Services administratifs et indirecte,Manuel
5304,Concierge de nuit cl. II,Services administratifs et indirecte,Manuel
5306,Aide général de cuisine,Services administratifs et indirecte,Manuel
5307,Buandier,Services administratifs et indirecte,Manuel
5308,Conducteur véhicule lourd,Services administratifs et indirecte,Manuel
5309,Aide cond. véhicule lourd,Services administratifs et indirecte,Manuel
5310,Conducteur véhicule léger,Services administratifs et indirecte,Manuel
5311,Cuisinier classe I,Services administratifs et indirecte,Manuel
5312,Cuisinier classe II,Services administratifs et indirecte,Manuel
5313,Cuisinier classe III,Services administratifs et indirecte,Manuel
5314,Pâtissier,Services administratifs et indirecte,Manuel
5315,Boucher,Services administratifs et indirecte,Manuel
5316,Gardien,Services administratifs et indirecte,Manuel
5317,Ouvrier entretien cl I,Services administratifs et indirecte,Manuel
5318,Ouvrier d'ent. classe II,Services administratifs et indirecte,Manuel
5319,Ouvrier entretien cl III,Services administratifs et indirecte,Manuel
5321,Jardinier,Services administratifs et indirecte,Manuel
5334,Aide de métier,Services administratifs et indirecte,Manuel
5335,Opér. chauff/frigorifique,Services administratifs et indirecte,Manuel
5398,Autre soutien entr. serv.,Services administratifs et indirecte,Manuel
5999,5*** création pour Web,Services administratifs et indirecte,
6001,Autre,Services administratifs et indirecte,
9104,Cons.péd. ext.,Services administratifs et indirecte,Professionnel
9107,Anim. ext.,Services administratifs et indirecte,
9108,Animateur pastor.,Services administratifs et indirecte,Professionnel
9120,Analyste,Services administratifs et indirecte,Professionnel
9200,Tuteur collégial,Soutien direct,
9500,Organisation d'évènements,Services administratifs et indirecte,
9600,Entraineur/activité,Soutien direct,
9700,Stagiaire,Soutien direct,
